Source,Target,Type,TravelType,TimeCost,PollutionCost,Weight
IDFM:22039,IDFM:462964,Directed,METRO,0,783333,1,940652,0,783333
IDFM:462964,IDFM:22039,Directed,METRO,0,783333,1,940652,0,783333
IDFM:22158,IDFM:22155,Directed,METRO,0,783333,2,883277,0,783333
IDFM:22155,IDFM:22158,Directed,METRO,0,783333,2,883277,0,783333
IDFM:22160,IDFM:22158,Directed,METRO,0,783333,1,810240,0,783333
IDFM:22158,IDFM:22160,Directed,METRO,0,783333,1,810240,0,783333
IDFM:22164,IDFM:22165,Directed,METRO,0,783333,3,503006,0,783333
IDFM:22165,IDFM:22164,Directed,METRO,0,783333,3,503006,0,783333
IDFM:463312,IDFM:22198,Directed,METRO,0,783333,2,087464,0,783333
IDFM:22198,IDFM:463312,Directed,METRO,0,783333,2,087464,0,783333
IDFM:21923,IDFM:463238,Directed,METRO,0,800000,1,831802,0,800000
IDFM:463238,IDFM:21923,Directed,METRO,0,800000,1,831802,0,800000
IDFM:22021,IDFM:22028,Directed,METRO,0,800000,2,699798,0,800000
IDFM:22028,IDFM:22021,Directed,METRO,0,800000,2,699798,0,800000
IDFM:22160,IDFM:22173,Directed,METRO,0,800000,2,602773,0,800000
IDFM:22173,IDFM:22160,Directed,METRO,0,800000,2,602773,0,800000
IDFM:22198,IDFM:463058,Directed,METRO,0,800000,2,222015,0,800000
IDFM:463058,IDFM:22198,Directed,METRO,0,800000,2,222015,0,800000
IDFM:463114,IDFM:463102,Directed,METRO,0,800000,2,849630,0,800000
IDFM:463102,IDFM:463114,Directed,METRO,0,800000,2,849630,0,800000
IDFM:463158,IDFM:463208,Directed,METRO,0,800000,1,622671,0,800000
IDFM:463208,IDFM:463158,Directed,METRO,0,800000,1,622671,0,800000
IDFM:463288,IDFM:463128,Directed,METRO,0,800000,3,107293,0,800000
IDFM:463128,IDFM:463288,Directed,METRO,0,800000,3,107293,0,800000
IDFM:463310,IDFM:22141,Directed,METRO,0,800000,2,442788,0,800000
IDFM:22141,IDFM:463310,Directed,METRO,0,800000,2,442788,0,800000
IDFM:21994,IDFM:463091,Directed,METRO,0,816667,1,807794,0,816667
IDFM:463091,IDFM:21994,Directed,METRO,0,816667,1,807794,0,816667
IDFM:22009,IDFM:22000,Directed,METRO,0,816667,1,862421,0,816667
IDFM:22000,IDFM:22009,Directed,METRO,0,816667,1,862421,0,816667
IDFM:22049,IDFM:21980,Directed,METRO,0,816667,1,994157,0,816667
IDFM:21980,IDFM:22049,Directed,METRO,0,816667,1,994157,0,816667
IDFM:22121,IDFM:463240,Directed,METRO,0,816667,2,433915,0,816667
IDFM:463240,IDFM:22121,Directed,METRO,0,816667,2,433915,0,816667
IDFM:462986,IDFM:463090,Directed,METRO,0,816667,2,732237,0,816667
IDFM:463090,IDFM:462986,Directed,METRO,0,816667,2,732237,0,816667
IDFM:463005,IDFM:22171,Directed,METRO,0,816667,2,599381,0,816667
IDFM:22171,IDFM:463005,Directed,METRO,0,816667,2,599381,0,816667
IDFM:463041,IDFM:22085,Directed,METRO,0,816667,1,897920,0,816667
IDFM:22085,IDFM:463041,Directed,METRO,0,816667,1,897920,0,816667
IDFM:463308,IDFM:462992,Directed,METRO,0,816667,2,798698,0,816667
IDFM:462992,IDFM:463308,Directed,METRO,0,816667,2,798698,0,816667
IDFM:463317,IDFM:22050,Directed,METRO,0,816667,1,846972,0,816667
IDFM:22050,IDFM:463317,Directed,METRO,0,816667,1,846972,0,816667
IDFM:21994,IDFM:463316,Directed,METRO,0,833333,1,957261,0,833333
IDFM:463316,IDFM:21994,Directed,METRO,0,833333,1,957261,0,833333
IDFM:22164,IDFM:463114,Directed,METRO,0,833333,2,151462,0,833333
