Id,Label,Line,Latitude,Longitude
IDFM:monomodalStopPlace:43188,Sainte-Geneviève-des-Bois,C,48,652953,2,312961
IDFM:monomodalStopPlace:43186,Robinson,B,48,780240,2,281365
IDFM:478992,Camille Groult,T9,48,785684,2,391987
IDFM:monomodalStopPlace:43189,Sannois,J,48,970881,2,263820
IDFM:478995,La Briqueterie,T9,48,807293,2,374857
IDFM:478996,Beethoven - Concorde,T9,48,798851,2,381493
IDFM:478997,Mairie de Vitry-sur-Seine,T9,48,790194,2,388422
IDFM:478999,Germaine Tailleferre,T9,48,803307,2,377819
IDFM:490876,Porte Dauphine (Avenue Foch),T3b,48,870359,2,274764
IDFM:monomodalStopPlace:43183,Porchefontaine,C,48,796545,2,152234
IDFM:monomodalStopPlace:43082_IDFM:C01739,Houilles - Carrières-sur-Seine,J,48,920348,2,185176
IDFM:monomodalStopPlace:43181,Plaisir - Les Clayes,N,48,830839,1,960091
IDFM:463261,Porte de Versailles,12,48,832411,2,287937
IDFM:463263,Porte des Lilas,11,48,877231,2,406523
IDFM:22142,Réaumur - Sébastopol,4,48,866060,2,352498
IDFM:463021,Gare de l'Est,5,48,876122,2,358024
IDFM:474397,Miromesnil,13,48,873323,2,314594
IDFM:463022,Gare de l'Est,4,48,876281,2,357824
IDFM:22141,Porte de Clignancourt,4,48,897542,2,344686
IDFM:463264,Strasbourg - Saint-Denis,9,48,869426,2,353777
IDFM:490881,Anna de Noailles,T3b,48,874453,2,278129
IDFM:463023,Gare d'Austerlitz,5,48,842347,2,365526
IDFM:463265,Sully - Morland,7,48,851240,2,361802
IDFM:22388,Chaussée d'Antin - La Fayette,7,48,873168,2,333704
IDFM:463025,Place d'Italie,5,48,830966,2,355549
IDFM:22385,Maison Blanche,7,48,822159,2,358476
IDFM:22145,Odéon,4,48,852139,2,339501
IDFM:22386,Jussieu,7,48,845963,2,354798
IDFM:463026,Place d'Italie,7,48,831545,2,355317
IDFM:22147,Etienne Marcel,4,48,863703,2,348976
IDFM:22389,Corentin Cariou,7,48,894673,2,382292
IDFM:monomodalStopPlace:43198,Saint-Germain-en-Laye,A,48,898745,2,095042
IDFM:monomodalStopPlace:46222,Vert-Galant,B,48,944092,2,566397
IDFM:478980,Porte de Choisy,T9,48,819487,2,365157
IDFM:478982,Trois Communes,T9,48,772999,2,399414
IDFM:monomodalStopPlace:43190,Sarcelles - Saint-Brice,H,48,996205,2,368686
IDFM:monomodalStopPlace:47790,Bougival,L,48,853793,2,132028
IDFM:478985,Les Saules,T9,48,746928,2,416286
IDFM:490886,Anny Flore,T3b,48,881207,2,285528
IDFM:478987,Watteau - Rondenay,T9,48,778628,2,396390
IDFM:monomodalStopPlace:43195,Sèvres Rive Gauche,N,48,821214,2,215080
IDFM:monomodalStopPlace:43072_IDFM:C01727,Gare d'Austerlitz,C,48,840320,2,367819
IDFM:monomodalStopPlace:43194,Sevran - Livry,B,48,936402,2,535289
IDFM:478989,Verdun - Hoche,T9,48,768412,2,402869
IDFM:monomodalStopPlace:43193,Sevran - Beaudottes,B,48,947002,2,524726
IDFM:490889,Thérèse Pierre,T3b,48,883611,2,288325
IDFM:monomodalStopPlace:43192,Savigny-sur-Orge,C,48,676395,2,352354
IDFM:22390,Cadet,7,48,876006,2,344415
IDFM:22391,Censier - Daubenton,7,48,840246,2,351561
IDFM:463250,Parmentier,3,48,865203,2,374701
IDFM:22151,Denfert-Rochereau,4,48,833936,2,332073
IDFM:22395,La Courneuve - 8 Mai 1945,7,48,920308,2,410115
IDFM:463251,Pierre et Marie Curie,7,48,815857,2,377305
IDFM:490890,Porte de Champerret,T3b,48,885994,2,292151
IDFM:22153,Château d'Eau,4,48,872460,2,355977
IDFM:22152,Château Rouge,4,48,887160,2,349474
IDFM:463011,Champs-Élysées - Clemenceau,13,48,867374,2,313902
IDFM:463253,Place de Clichy,13,48,883229,2,327255
IDFM:490892,Porte Maillot - Palais des Congrès,T3b,48,877910,2,283876
IDFM:22155,Raspail,6,48,839076,2,330482
IDFM:463255,Poissonnière,7,48,877122,2,348767
IDFM:22396,Mairie d'Ivry,7,48,811210,2,383498
IDFM:463257,Porte Maillot,1,48,877784,2,282432
IDFM:463015,Maisons-Alfort - Les Juilliottes,8,48,803162,2,445872
IDFM:monomodalStopPlace:412743_IDFM:C01728,Saint-Denis,D,48,934829,2,345479
IDFM:463258,Porte de Champerret,3,48,885694,2,291980
IDFM:463017,Hoche,5,48,891393,2,403163
IDFM:22158,Denfert-Rochereau,6,48,834282,2,332838
IDFM:463259,Porte de Saint-Cloud,9,48,837978,2,256918
IDFM:463018,Bastille,5,48,853294,2,368860
IDFM:463019,Bastille,1,48,852009,2,368706
IDFM:22119,La Chapelle,2,48,884431,2,360417
IDFM:monomodalStopPlace:47524,Belloy - Saint-Martin,H,49,098389,2,361327
IDFM:monomodalStopPlace:45346,Javel,C,48,847162,2,278037
IDFM:monomodalStopPlace:43071_IDFM:C01738,Aulnay-sous-Bois,K,48,932151,2,495597
IDFM:monomodalStopPlace:43163,Meudon Val Fleury,C,48,807552,2,240942
IDFM:monomodalStopPlace:47525,Viarmes,H,49,116635,2,368238
IDFM:monomodalStopPlace:43191_IDFM:C01742,Sartrouville,A,48,937695,2,157220
IDFM:monomodalStopPlace:43169,Nanterre Préfecture,A,48,895887,2,222986
IDFM:monomodalStopPlace:43191_IDFM:C01740,Sartrouville,L,48,937695,2,157220
IDFM:monomodalStopPlace:43168,Montsoult - Maffliers,H,49,066160,2,322822
IDFM:monomodalStopPlace:47522,Villaines,H,49,079264,2,350536
IDFM:470808,Dammartin - Juilly - Saint-Mard,TER Hauts-de-France,49,032258,2,699188
IDFM:monomodalStopPlace:43167,Montreuil,L,48,805965,2,152828
IDFM:monomodalStopPlace:462394_IDFM:C01737,Gare du Nord,H,48,882307,2,356693
IDFM:490850,L'Haÿ-les-Roses,14,48,775327,2,355012
IDFM:monomodalStopPlace:46990_IDFM:C01736,Saint-Cyr,N,48,798775,2,072712
IDFM:490852,Thiais - Orly (Pont de Rungis),14,48,746840,2,372425
IDFM:monomodalStopPlace:44493,Bagneux,B,48,793337,2,322009
IDFM:monomodalStopPlace:462394_IDFM:C01738,Gare du Nord,K,48,882307,2,356693
IDFM:monomodalStopPlace:43162,Meudon,N,48,814364,2,242879
IDFM:monomodalStopPlace:43196_IDFM:C01741,Saint-Cloud,U,48,846059,2,217631
IDFM:monomodalStopPlace:43161,Meaux,P,48,956620,2,873308
IDFM:monomodalStopPlace:43196_IDFM:C01740,Saint-Cloud,L,48,846059,2,217631
IDFM:monomodalStopPlace:43160,Maurecourt,J,48,986862,2,059635
IDFM:463281,Porte de la Chapelle,12,48,897407,2,359176
IDFM:463041,Tuileries,1,48,864690,2,329076
IDFM:463042,Charles de Gaulle - Étoile,6,48,873775,2,294874
IDFM:463284,Pyramides,14,48,865781,2,334681
IDFM:463043,Charles de Gaulle - Étoile,2,48,874970,2,295870
IDFM:463285,Père Lachaise,2,48,862468,2,387635
IDFM:463044,Pont de Neuilly,1,48,884658,2,260703
IDFM:monomodalStopPlace:462357,Issy - Val de Seine,C,48,830510,2,264011
IDFM:22122,Alexandre Dumas,2,48,856222,2,394652
IDFM:463287,Pyrénées,11,48,873816,2,385043
IDFM:463045,Olympiades,14,48,827034,2,366979
IDFM:25633,Porte de Versailles,T2,48,831869,2,287192
IDFM:22121,Courcelles,2,48,879265,2,303294
IDFM:463288,Quai de la Gare,6,48,837038,2,372796
IDFM:22366,Place Monge,7,48,842675,2,352080
IDFM:monomodalStopPlace:412743_IDFM:C01737,Saint-Denis,H,48,934829,2,345479
IDFM:463289,Quai de la Rapée,5,48,846459,2,365939
IDFM:463047,École Vétérinaire de Maisons-Alfort,8,48,814797,2,422361
IDFM:22364,Châtelet,7,48,856911,2,348132
IDFM:463049,Grands Boulevards,9,48,871487,2,343194
IDFM:25637,Porte d'Issy,T2,48,831710,2,281009
IDFM:monomodalStopPlace:47528,Luzarches,H,49,117099,2,420044
IDFM:22125,Blanche,2,48,883766,2,332484
IDFM:monomodalStopPlace:43238_IDFM:C02370,Gare Montparnasse,TER Normandie,48,838411,2,316389
IDFM:22367,Château Landon,7,48,878446,2,362032
IDFM:25635,Issy - Val de Seine,T2,48,829712,2,263049
IDFM:22127,Barbès - Rochechouart,2,48,883814,2,350590
IDFM:22368,Stalingrad,7,48,884344,2,368947
IDFM:monomodalStopPlace:43177,Parc de Sceaux,B,48,769719,2,309935
IDFM:25639,Meudon-sur-Seine,T2,48,819180,2,238621
IDFM:monomodalStopPlace:43175,Palaiseau - Villebon,B,48,708149,2,237329
IDFM:monomodalStopPlace:46689,Viroflay - Rive Droite,L,48,805473,2,167655
IDFM:monomodalStopPlace:46990_IDFM:C01727,Saint-Cyr,C,48,798775,2,072712
IDFM:monomodalStopPlace:47530,Nointel - Mours,H,49,132829,2,279958
IDFM:monomodalStopPlace:43179,Pierrefitte - Stains,D,48,962776,2,370331
IDFM:monomodalStopPlace:47533,Bruyères-sur-Oise,H,49,155116,2,324833
IDFM:monomodalStopPlace:43178,Persan - Beaumont,H,49,147583,2,277800
IDFM:monomodalStopPlace:462394_IDFM:C01728,Gare du Nord,D,48,882307,2,356693
IDFM:monomodalStopPlace:47770,Garches - Marnes-la-Coquette,L,48,838254,2,187093
IDFM:monomodalStopPlace:43172,Neuilly-Plaisance,A,48,852525,2,514590
IDFM:monomodalStopPlace:43171,Nanterre Ville,A,48,895020,2,195118
IDFM:monomodalStopPlace:43096_IDFM:C01730,Bondy,P,48,893966,2,479580
IDFM:22372,Porte d'Ivry,7,48,821421,2,369403
IDFM:463031,Aubervilliers - Pantin - Quatre Chemins,7,48,903777,2,392167
IDFM:22373,Porte de Choisy,7,48,820094,2,364652
IDFM:463032,Stalingrad,5,48,884145,2,367348
IDFM:22370,Tolbiac,7,48,826145,2,357169
IDFM:463033,Louis Blanc,7,48,881068,2,364727
IDFM:22371,Riquet,7,48,888133,2,373717
IDFM:monomodalStopPlace:43071_IDFM:C01743,Aulnay-sous-Bois,B,48,932151,2,495597
IDFM:22132,Marcadet - Poissonniers,4,48,891280,2,349613
IDFM:463035,Billancourt,9,48,831875,2,237929
IDFM:25643,Parc de Saint-Cloud,T2,48,843032,2,221826
IDFM:22135,Vavin,4,48,842147,2,328943
IDFM:22374,Porte de la Villette,7,48,897834,2,385824
IDFM:463036,Richelieu - Drouot,9,48,872188,2,338604
IDFM:25642,La Défense (Grande Arche),T2,48,893029,2,237459
IDFM:22134,Strasbourg - Saint-Denis,4,48,869646,2,354416
IDFM:22375,Pyramides,7,48,865855,2,334355
IDFM:monomodalStopPlace:43191_IDFM:C01739,Sartrouville,J,48,937695,2,157220
IDFM:463038,Jasmin,9,48,852448,2,268076
IDFM:22136,Saint-Germain-des-Prés,4,48,853624,2,333968
IDFM:25647,Pont de Bezons,T2,48,923351,2,217568
IDFM:25645,Suresnes - Longchamp,T2,48,868113,2,221431
IDFM:monomodalStopPlace:43176_IDFM:C01729,Pantin,E,48,897987,2,401041
IDFM:monomodalStopPlace:43144,La Grande-Paroisse,R,48,378633,2,896902
IDFM:monomodalStopPlace:46897,Meulan - Hardricourt,J,49,005816,1,902129
