edge_id,route_type,start_station_id,end_station_id,duration,distance,CO2_emitted
2314981,6,IDFM:24115,IDFM:24100,105,0.09544618304101453,0.0
2314982,6,IDFM:22218,IDFM:472273,360,0.32585795522643296,0.0
2314983,6,IDFM:471607,IDFM:monomodalStopPlace:58572,295,0.26661086044859067,0.0
2314984,6,IDFM:22007,IDFM:22149,180,0.04488948359934937,0.0
2314985,6,IDFM:22372,IDFM:24133,213,0.06979487094325265,0.0
2314986,6,IDFM:22034,IDFM:463210,12,0.010923681603044603,0.0
2314987,6,IDFM:472737,IDFM:monomodalStopPlace:43219,37,0.034181953339876545,0.0
2314988,6,IDFM:22094,IDFM:22095,81,0.16297379986186764,0.0
2314989,6,IDFM:monomodalStopPlace:479035,IDFM:463128,240,0.44776085007762695,0.0
2314990,6,IDFM:463009,IDFM:463008,301,0.2627904839490071,0.0
2314991,6,IDFM:463034,IDFM:463033,70,0.07173382913422063,0.0
2314992,6,IDFM:463215,IDFM:21936,11,0.010381068644902833,0.0
2314993,6,IDFM:462943,IDFM:463028,90,0.05785393639950571,0.0
2314994,6,IDFM:24119,IDFM:24122,15,0.014377858924143248,0.0
2314995,6,IDFM:463286,IDFM:22112,100,0.1416967681158353,0.0
2314996,6,IDFM:22373,IDFM:24120,197,0.07390194734694878,0.0
2314997,6,IDFM:463000,IDFM:22010,180,0.06640837796571317,0.0
2314998,6,IDFM:463074,IDFM:22118,156,0.09472316470171878,0.0
2314999,6,IDFM:480288,IDFM:480341,10,0.009872988831618527,0.0
2315000,6,IDFM:472142,IDFM:21964,363,0.3280001924931051,0.0
2315001,6,IDFM:470824,IDFM:471897,7,0.006702503537509768,0.0
2315002,6,IDFM:22634,IDFM:22240,313,0.22542757876872882,0.0
2315003,6,IDFM:22044,IDFM:463304,13,0.011998024627489147,0.0
2315004,6,IDFM:41855,IDFM:41856,13,0.012428370134843358,0.0
2315005,6,IDFM:478980,IDFM:463030,248,0.08334111830996543,0.0
2315006,6,IDFM:22399,IDFM:463323,12,0.011664158967468334,0.0
2315007,6,IDFM:480942,IDFM:481038,14,0.013076030524230689,0.0
2315008,6,IDFM:463264,IDFM:463313,116,0.04844747138144061,0.0
2315009,6,IDFM:471925,IDFM:472217,78,0.07080019220870584,0.0
2315010,6,IDFM:471335,IDFM:471077,180,0.16307970870249106,0.0
2315011,6,IDFM:22218,IDFM:463188,354,0.32025496883898935,0.0
2315012,6,IDFM:22072,IDFM:21919,200,0.05662362036963987,0.0
2315013,6,IDFM:22074,IDFM:463307,14,0.01270181214290487,0.0
2315014,6,IDFM:463301,IDFM:22241,13,0.011830844355458727,0.0
2315015,6,IDFM:490908,IDFM:29894,780,0.5393887609625907,0.0
2315016,6,IDFM:monomodalStopPlace:43096,IDFM:479491,236,0.21349482840520356,0.0
2315017,6,IDFM:24124,IDFM:24123,357,0.32276059026531706,0.0
2315018,6,IDFM:21967,IDFM:monomodalStopPlace:43072,240,0.37982632234461133,0.0
2315019,6,IDFM:486899,IDFM:monomodalStopPlace:43076,337,0.30499475757021827,0.0
2315020,6,IDFM:462958,IDFM:21972,180,0.012384586754379279,0.0
2315021,6,IDFM:462943,IDFM:monomodalStopPlace:473875,230,0.08304710642031797,0.0
2315022,6,IDFM:29900,IDFM:35942,12,0.011299893819623501,0.0
2315023,6,IDFM:471660,IDFM:471383,27,0.02458683660338618,0.0
2315024,6,IDFM:463228,IDFM:22021,12,0.011042101751430212,0.0
2315025,6,IDFM:21980,IDFM:462966,2,0.0025655553909508526,0.0
2315026,6,IDFM:28862,IDFM:28867,377,0.34043298375708214,0.0
2315027,6,IDFM:21993,IDFM:463319,2,0.00256550008071208,0.0
2315028,6,IDFM:463284,IDFM:21960,12,0.01161916413774968,0.0
2315029,6,IDFM:25642,IDFM:monomodalStopPlace:470549,240,0.12360811968324668,0.0
2315030,6,IDFM:22043,IDFM:462950,2,0.0025655465508170987,0.0
2315031,6,IDFM:463245,IDFM:22195,180,0.050593096306684335,0.0
2315032,6,IDFM:471604,IDFM:monomodalStopPlace:470519,66,0.0598471136482489,0.0
2315033,6,IDFM:22089,IDFM:463000,180,0.1990537488117974,0.0
2315034,6,IDFM:21956,IDFM:463165,14,0.013458566425091025,0.0
2315035,6,IDFM:monomodalStopPlace:470519,IDFM:monomodalStopPlace:58572,350,0.31664531019564723,0.0
2315036,6,IDFM:monomodalStopPlace:43238,IDFM:22156,240,0.6213288414549714,0.0
2315037,6,IDFM:472142,IDFM:472273,16,0.014950489481236067,0.0
2315038,6,IDFM:21957,IDFM:monomodalStopPlace:479035,240,0.46721320495821034,0.0
2315039,6,IDFM:monomodalStopPlace:44877,IDFM:463060,780,0.5581286862354807,0.0
2315040,6,IDFM:463161,IDFM:463306,448,0.33038799115432343,0.0
2315041,6,IDFM:21921,IDFM:463037,180,0.0642928937088489,0.0
2315042,6,IDFM:22095,IDFM:monomodalStopPlace:58759,218,0.04710347509736587,0.0
2315043,6,IDFM:35945,IDFM:460559,23,0.021180626969868954,0.0
2315044,6,IDFM:22021,IDFM:463228,12,0.011042101751430212,0.0
2315045,6,IDFM:463006,IDFM:471607,245,0.2213038910025766,0.0
2315046,6,IDFM:22196,IDFM:462989,353,0.31931112155271296,0.0
2315047,6,IDFM:24420,IDFM:24412,11,0.01041286547794905,0.0
2315048,6,IDFM:471958,IDFM:monomodalStopPlace:43157,57,0.05153610881125525,0.0
2315049,6,IDFM:22295,IDFM:22296,15,0.014400459581120031,0.0
2315050,6,IDFM:28846,IDFM:22267,120,0.054462375111118254,0.0
2315051,6,IDFM:22400,IDFM:29903,203,0.07607407932747233,0.0
2315052,6,IDFM:21930,IDFM:463239,367,0.33204480633248207,0.0
2315053,6,IDFM:471335,IDFM:471646,169,0.1531619238499603,0.0
2315054,6,IDFM:463020,IDFM:22009,26,0.02394869796240859,0.0
2315055,6,IDFM:486898,IDFM:486899,11,0.010321335035357352,0.0
2315056,6,IDFM:463281,IDFM:412987,241,0.14478067323742783,0.0
2315057,6,IDFM:21906,IDFM:462970,375,0.3386225881751459,0.0
2315058,6,IDFM:471607,IDFM:22367,242,0.21929697958158872,0.0
